order_id,order_date,customer_name,city,product_name,category,unit_price,quantity,discount,payment_method,returned
ORD-100000,Nov 03 2025,Corey Gray,Beirut,Notebook A5,Office,3.5,2.0,,wallet,N
ORD-100001,29/11/2025,Zachary Mathews,Sidon,Bluetooth Speaker,Electronics,35.0,1.0,0.0,cash,N
ORD-100002,30/01/2026, jillian pena  ,Sidon,Notebook A5,Office,$3.5,3.0,0.0,cash,N
ORD-100003,2025-11-07,Nicholas Meza,Tyre,Laptop Stand,Office,22.0,1.0,2.5,card,N
ORD-100004,Oct 15 2025,Mr. Frank Burns,Byblos,Notebook A5,Office,3.5,,0.0,cash,N
ORD-100005,Dec 29 2025, kyle hodge  ,beirut ,Shampoo 400ml,Personal Care,"5,2",1.0,2.5,card,N
ORD-100006,Dec 23 2025, brian guerrero  ,Sidon,Notebook A5,Office,4.2,1.0,0.0,card,N
ORD-100007,29/10/2025, jasmine lopez  ,Byblos,Bluetooth Speaker,Electronics,33.25,1.0,,wallet,Y
ORD-100008,2025-10-30, daniel ryan  ,Zahle,USB-C Cable,Accessories,6.0,1.0,0.0,wallet,N
ORD-100009,14/01/2026,Whitney Powell,Zahle,Laptop Stand,Office,22.0,2.0,0.0,card,N
ORD-100010,12/12/2025,Jill Parker,Tyre,USB-C Cable,Accessories,"6,0",1.0,0.0,card,Y
ORD-100011,Nov 18 2025,Maria Phillips,Byblos,Protein Bar,Grocery,1.8,,,cash,N
ORD-100012,04/10/2025, yvonne olson  ,Tripoli,Notebook A5,Office,3.5,1.0,0.0,wallet,N
ORD-100013,10/10/2025,Amy Meyer,Byblos,iPhone 14 Case,Accessories,12.5,1.0,,card,Y
ORD-100014,Nov 13 2025,Lindsay Robbins,Tyre,Wireless Mouse,Electronics,22.68,1.0,0.0,card,N
ORD-100015,Oct 03 2025,Patricia Estrada, ?????,iPhone 14 Case,Accessories,$15.0,1.0,2.5,card,N
ORD-100016,Dec 18 2025,Michael Hines,Sidon,iPhone 14 Case,Accessories,$12.5,1.0,,cash,Y
ORD-100017,Oct 04 2025, christopher bonilla  ,beirut ,Laptop Stand,Office,"22,0",3.0,0.0,cash,Y
ORD-100018,Nov 11 2025, raymond lynch  ,Byblos,Laptop Stand,Office,$26.4,2.0,,wallet,Y
ORD-100019,Dec 23 2025,Jennifer Howe,Byblos,Notebook A5,Office,3.32,1.0,2.5,wallet,N
ORD-100020,01/10/2025,Michelle Chavez, ?????,Olive Oil 1L,Grocery,9.4,1.0,2.5,wallet,N
ORD-100021,Oct 14 2025,Derrick Kirk,Byblos,Laptop Stand,Office,22.0,1.0,0.0,cash,N
ORD-100022,24/01/2026,Vincent Conrad,Jounieh,Wireless Mouse,Electronics,18.9,1.0,0.0,cash,Y
ORD-100023,2025-12-28,Adam Henderson,Tripoli,Shampoo 400ml,Personal Care,5.2,1.0,0.0,cash,Y
ORD-100024,Nov 02 2025, henry doyle  ,Tripoli,USB-C Cable,Accessories,6.0,1.0,0.0,card,N
ORD-100025,2025-11-12,Charlene Reed,beirut ,Laptop Stand,Office,$20.9,2.0,0.0,card,Y
ORD-100026,Dec 09 2025,Daniel Reynolds, ?????,Bluetooth Speaker,Electronics,35.0,1.0,2.5,cash,N
ORD-100027,09/12/2025,Jose Owens,Tyre,iPhone 14 Case,Accessories,13.12,2.0,0.0,wallet,Y
ORD-100028,Dec 06 2025, robert gutierrez  ,Tyre,Wireless Mouse,Electronics,$18.9,2.0,,cash,N
ORD-100029,Jan 13 2026,Laura Galloway,Zahle,iPhone 14 Case,Accessories,13.12,1.0,,cash,N
ORD-100030,2026-01-01,Denise Miller,beirut ,Toothpaste,Personal Care,2.3,1.0,0.0,cash,N
ORD-100031,2025-11-10,Richard Guerrero,Byblos,Shampoo 400ml,Personal Care,5.2,1.0,0.0,wallet,Y
ORD-100032,2026-01-17,Shane Cruz,Zahle,Shampoo 400ml,Personal Care,5.2,,1.0,card,Y
ORD-100033,06/01/2026,Jennifer Frederick,Byblos,Wireless Mouse,Electronics,$18.9,1.0,0.0,wallet,N
ORD-100034,2025-10-14,Michelle Wright,Jounieh,Toothpaste,Personal Care,2.3,1.0,0.0,cash,N
ORD-100035,02/01/2026, molly dudley  ,Beirut,USB-C Cable,Accessories,6.3,1.0,2.5,wallet,N
ORD-100036,Dec 15 2025,Connor Simpson,Tyre,Bluetooth Speaker,Electronics,33.25,1.0,2.5,card,N
ORD-100037,Jan 10 2026,Parker Davis,Jounieh,Laptop Stand,Office,23.1,3.0,0.0,cash,N
ORD-100038,Dec 28 2025,William Peterson,Tripoli,iPhone 14 Case,Accessories,15.0,2.0,0.0,card,N
ORD-100039,23/10/2025,Kimberly Davis, ?????,Bluetooth Speaker,Electronics,42.0,1.0,0.0,wallet,Y
ORD-100040,07/11/2025, michael sanchez  ,Jounieh,Bluetooth Speaker,Electronics,42.0,,0.0,wallet,Y
ORD-100041,Oct 08 2025,Sarah Barrett,Tyre,Toothpaste,Personal Care,2.3,1.0,0.0,wallet,N
ORD-100042,Oct 30 2025, jaime gibson  ,Tyre,Toothpaste,Personal Care,$2.42,1.0,0.0,card,N
ORD-100043,Nov 02 2025, shannon harris  ,Jounieh,Shampoo 400ml,Personal Care,$6.24,,2.5,cash,N
ORD-100044,2025-11-24, luke thomas  ,Sidon,Laptop Stand,Office,"23,1",,2.5,cash,N
ORD-100045,Nov 22 2025,Edward Knight,beirut ,Protein Bar,Grocery,$1.89,1.0,,cash,N
ORD-100046,Dec 26 2025,Amanda Moore,Tyre,Shampoo 400ml,Personal Care,$4.94,1.0,0.0,cash,Y
ORD-100047,2026-01-28,Joseph Anderson, ?????,Toothpaste,Personal Care,2.18,2.0,1.0,card,N
ORD-100048,28/10/2025,Kevin Wilson,beirut ,USB-C Cable,Accessories,$5.7,2.0,0.0,wallet,N
ORD-100049,2025-10-14,Ian Lambert,Zahle,Wireless Mouse,Electronics,$19.84,1.0,,wallet,Y
ORD-100050,2025-11-24,David Navarro,Zahle,Notebook A5,Office,3.5,2.0,2.5,cash,N
ORD-100051,Nov 25 2025,Eric Johnson,Tripoli,Bluetooth Speaker,Electronics,35.0,1.0,0.0,card,N
ORD-100052,2026-01-01,Joseph Robbins, ?????,Protein Bar,Grocery,1.89,,0.0,card,Y
ORD-100053,Nov 10 2025,David Powell,Jounieh,Notebook A5,Office,4.2,1.0,2.5,cash,N
ORD-100054,2025-11-08, dorothy lucero  ,Tripoli,Laptop Stand,Office,$22.0,1.0,2.5,cash,N
ORD-100055,Nov 10 2025,Michelle Garner,Zahle,Notebook A5,Office,$3.5,2.0,0.0,card,N
ORD-100056,Dec 09 2025,Lori Hernandez,Tripoli,Toothpaste,Personal Care,2.18,1.0,0.0,cash,N
ORD-100057,03/11/2025, madison stone  ,beirut ,Olive Oil 1L,Grocery,$11.88,1.0,0.0,cash,N
ORD-100058,2025-12-03,Todd Gardner,Zahle,Protein Bar,Grocery,$1.71,1.0,1.0,card,N
ORD-100059,20/12/2025,Gary Hodge, ?????,Olive Oil 1L,Grocery,10.4,2.0,,wallet,N
ORD-100060,03/10/2025,Lauren Taylor,Tripoli,Notebook A5,Office,3.68,1.0,,card,Y
ORD-100061,18/10/2025,Johnathan Smith,beirut ,Toothpaste,Personal Care,$2.18,1.0,1.0,cash,Y
ORD-100062,2025-12-11,Patrick Schultz,Zahle,Laptop Stand,Office,22.0,1.0,2.5,wallet,N
ORD-100063,Jan 21 2026, rebecca baker  ,Byblos,USB-C Cable,Accessories,6.0,1.0,0.0,wallet,N
ORD-100064,2025-12-24,Daniel Moss,Beirut,Toothpaste,Personal Care,2.42,1.0,0.0,card,N
ORD-100065,2025-10-19,Carol Powell,Zahle,USB-C Cable,Accessories,6.3,,0.0,cash,Y
ORD-100066,2025-10-13,Brian Hayden,Zahle,Laptop Stand,Office,23.1,,,card,N
ORD-100067,Dec 31 2025, ricky graham  , ?????,Protein Bar,Grocery,1.89,1.0,0.0,wallet,N
ORD-100068,2025-11-09,Jennifer Fernandez,Tyre,USB-C Cable,Accessories,5.7,1.0,,wallet,N
ORD-100069,18/12/2025,Denise Daugherty,Tripoli,Wireless Mouse,Electronics,18.9,1.0,1.0,cash,Y
ORD-100070,2025-12-31, erin robinson  ,beirut ,Protein Bar,Grocery,"2,16",1.0,0.0,wallet,N
ORD-100071,Jan 07 2026,Robert Abbott, ?????,Olive Oil 1L,Grocery,9.9,2.0,,cash,N
ORD-100072,24/12/2025,Michael Mcgee, ?????,Toothpaste,Personal Care,2.42,3.0,0.0,cash,N
ORD-100073,Nov 16 2025,Andrew Lopez,Byblos,Laptop Stand,Office,26.4,,2.5,card,Y
ORD-100074,12/11/2025,Joshua Fisher,beirut ,USB-C Cable,Accessories,$7.2,1.0,0.0,wallet,Y
ORD-100075,2025-11-09,Stephanie Zimmerman, ?????,Notebook A5,Office,3.5,1.0,0.0,cash,Y
ORD-100076,Oct 06 2025,Kimberly Cobb,Beirut,Notebook A5,Office,$3.5,1.0,0.0,cash,N
ORD-100077,2025-12-05, dylan perez  ,Zahle,Shampoo 400ml,Personal Care,5.2,2.0,1.0,card,N
ORD-100078,28/12/2025,Lisa Hayes,Sidon,Toothpaste,Personal Care,2.18,1.0,2.5,card,Y
ORD-100079,Oct 20 2025,Roger Sweeney,Byblos,Notebook A5,Office,$3.5,,1.0,card,N
ORD-100080,Dec 07 2025,Amanda Simmons,Tyre,iPhone 14 Case,Accessories,$12.5,,1.0,wallet,N
ORD-100081,2025-11-01, holly turner  ,beirut ,Notebook A5,Office,4.2,1.0,2.5,wallet,N
ORD-100082,2026-01-01,Cheryl Elliott,Tripoli,Protein Bar,Grocery,1.8,1.0,2.5,card,Y
ORD-100083,Dec 02 2025, mrs. rebecca taylor  ,Sidon,iPhone 14 Case,Accessories,12.5,1.0,1.0,cash,N
ORD-100084,2025-10-08, ashley sanchez  , ?????,Olive Oil 1L,Grocery,"9,9",3.0,1.0,wallet,N
ORD-100085,2025-10-05,Raymond Crawford,Tripoli,Laptop Stand,Office,22.0,1.0,,cash,N
ORD-100086,Oct 18 2025,Cathy Mcdaniel,Zahle,Bluetooth Speaker,Electronics,33.25,1.0,2.5,wallet,N
ORD-100087,18/01/2026,Taylor Cooper,Beirut,Protein Bar,Grocery,$1.71,1.0,,wallet,N
ORD-100088,Jan 21 2026,Cathy Mcguire,Byblos,Shampoo 400ml,Personal Care,5.2,3.0,1.0,cash,N
ORD-100089,12/01/2026,Derrick Wright,Jounieh,iPhone 14 Case,Accessories,13.12,1.0,2.5,wallet,N
ORD-100090,Oct 13 2025,Michael Kerr,Sidon,Laptop Stand,Office,22.0,1.0,1.0,card,N
ORD-100091,Nov 20 2025,Maria Kent,Beirut,Wireless Mouse,Electronics,$18.9,3.0,0.0,cash,N
ORD-100092,30/11/2025,Nicole Johnson,Sidon,Shampoo 400ml,Personal Care,$5.46,2.0,,card,N
ORD-100093,2025-12-12,Whitney Bailey,beirut ,Toothpaste,Personal Care,$2.3,1.0,2.5,wallet,N
ORD-100094,Oct 24 2025,Richard Nelson,Tripoli,Olive Oil 1L,Grocery,9.9,1.0,0.0,card,N
ORD-100095,08/10/2025, louis cole  ,Beirut,Toothpaste,Personal Care,$2.76,1.0,0.0,cash,N
ORD-100096,2025-11-10, jill solis  ,Tripoli,Wireless Mouse,Electronics,17.95,3.0,1.0,card,N
ORD-100097,Oct 07 2025,Angela Bray, ?????,iPhone 14 Case,Accessories,12.5,3.0,1.0,card,N
ORD-100098,2025-11-29,Suzanne Reyes,Zahle,iPhone 14 Case,Accessories,12.5,1.0,0.0,cash,Y
ORD-100099,Oct 20 2025,Katie Jones,Sidon,Laptop Stand,Office,26.4,3.0,0.0,cash,N
ORD-100100,Nov 27 2025,Christine Barker,Sidon,Wireless Mouse,Electronics,18.9,,0.0,cash,N
ORD-100101,Oct 23 2025,Cynthia Huff,Beirut,iPhone 14 Case,Accessories,12.5,2.0,0.0,card,N
ORD-100102,2025-11-28,Luis Payne, ?????,Toothpaste,Personal Care,2.42,3.0,0.0,wallet,N
ORD-100103,Oct 02 2025,Daniel White,Sidon,USB-C Cable,Accessories,6.3,3.0,1.0,wallet,Y
ORD-100104,22/12/2025, elizabeth jackson  ,beirut ,USB-C Cable,Accessories,6.0,1.0,2.5,card,N
ORD-100105,2025-11-01, christopher walker  ,Beirut,Notebook A5,Office,4.2,1.0,0.0,cash,Y
ORD-100106,Dec 17 2025, philip edwards  ,Byblos,Wireless Mouse,Electronics,18.9,3.0,,card,N
ORD-100107,2025-10-27,Emily Moyer,Tyre,Laptop Stand,Office,$22.0,3.0,0.0,card,N
ORD-100108,08/12/2025,Lisa Wood,Sidon,Toothpaste,Personal Care,2.42,,2.5,card,N
ORD-100109,2025-12-14, jason rogers  ,Beirut,USB-C Cable,Accessories,$6.3,1.0,0.0,wallet,N
ORD-100110,31/01/2026,Michelle Marks, ?????,Protein Bar,Grocery,2.16,1.0,2.5,cash,N
ORD-100111,Nov 12 2025,Aaron Miranda, ?????,Olive Oil 1L,Grocery,10.4,1.0,1.0,cash,Y
ORD-100112,2026-01-24,Cynthia Landry,Zahle,Protein Bar,Grocery,2.16,3.0,0.0,cash,N
ORD-100113,Nov 07 2025, marcia moore  ,Sidon,Protein Bar,Grocery,1.8,3.0,2.5,wallet,Y
ORD-100114,2025-11-08,Laura Mccall,Sidon,Wireless Mouse,Electronics,17.95,,0.0,wallet,Y
ORD-100115,2025-11-21, amy newton  ,Tyre,Wireless Mouse,Electronics,$19.84,3.0,0.0,card,N
ORD-100116,2025-11-24,Alison Perry,Sidon,Olive Oil 1L,Grocery,10.4,3.0,1.0,card,N
ORD-100117,16/01/2026,Charles Casey,beirut ,Laptop Stand,Office,22.0,1.0,2.5,cash,N
ORD-100118,Oct 24 2025, stephanie chandler  ,Sidon,Wireless Mouse,Electronics,18.9,2.0,1.0,card,N
ORD-100119,Jan 11 2026,Mr. Cole Lewis, ?????,Bluetooth Speaker,Electronics,$42.0,1.0,,wallet,N
ORD-100120,10/12/2025, cindy saunders  ,Tyre,Olive Oil 1L,Grocery,9.9,1.0,0.0,card,N
ORD-100121,Jan 30 2026,Deanna Sanders,Tyre,Olive Oil 1L,Grocery,11.88,1.0,0.0,card,N
ORD-100122,2025-10-06,Heather Dorsey,Tyre,Shampoo 400ml,Personal Care,5.2,1.0,0.0,cash,N
ORD-100123,2025-10-18,Sabrina Hayes,Sidon,Laptop Stand,Office,$22.0,2.0,0.0,card,N
ORD-100124,2025-10-02,Lindsay Keith,beirut ,Protein Bar,Grocery,$1.8,1.0,0.0,wallet,N
ORD-100125,2025-11-18,Dylan Mahoney,Tyre,Wireless Mouse,Electronics,"22,68",1.0,0.0,cash,N
ORD-100126,2025-12-21,Kristina Hanson, ?????,USB-C Cable,Accessories,6.0,1.0,0.0,cash,N
ORD-100127,30/01/2026,Edward Mcmillan,Sidon,Olive Oil 1L,Grocery,11.88,3.0,1.0,card,Y
ORD-100128,2026-01-12,Erin Miller,Tyre,Toothpaste,Personal Care,$2.3,1.0,1.0,wallet,Y
ORD-100129,30/10/2025, laura morrison  , ?????,Bluetooth Speaker,Electronics,36.75,1.0,1.0,cash,N
ORD-100130,2025-11-15, whitney brown  ,beirut ,Wireless Mouse,Electronics,18.9,2.0,2.5,cash,N
ORD-100131,Dec 09 2025,Alicia Stevens,Jounieh,Bluetooth Speaker,Electronics,35.0,1.0,0.0,card,N
ORD-100132,15/11/2025,Dawn Meyers,Tyre,Laptop Stand,Office,20.9,,0.0,cash,Y
ORD-100133,Dec 24 2025,Dr. Corey Larsen DVM,Byblos,Bluetooth Speaker,Electronics,$33.25,1.0,1.0,wallet,N
ORD-100134,01/11/2025,Annette Ferguson,Tripoli,Olive Oil 1L,Grocery,9.4,1.0,0.0,card,N
ORD-100135,2025-12-13,Alex Simmons,Zahle,Laptop Stand,Office,22.0,2.0,1.0,wallet,N
ORD-100136,10/12/2025,Kathy Williams, ?????,Shampoo 400ml,Personal Care,$5.2,2.0,0.0,card,N
ORD-100137,2025-10-12,Jeffrey Palmer,Beirut,iPhone 14 Case,Accessories,15.0,3.0,0.0,card,Y
ORD-100138,02/01/2026,Rebecca Brock,Beirut,USB-C Cable,Accessories,7.2,3.0,,card,N
ORD-100139,2025-11-09, casey schaefer  ,Tripoli,Protein Bar,Grocery,1.8,1.0,0.0,card,N
ORD-100140,13/10/2025,Judy Mitchell,Zahle,USB-C Cable,Accessories,6.3,,0.0,wallet,N
ORD-100141,2025-10-27, william olson  ,Beirut,Notebook A5,Office,$3.68,1.0,1.0,wallet,Y
ORD-100142,Nov 15 2025,Terry Simpson,Byblos,Bluetooth Speaker,Electronics,42.0,1.0,,cash,N
ORD-100143,2025-10-14,Stacey Hernandez,Jounieh,Protein Bar,Grocery,1.71,3.0,1.0,cash,Y
ORD-100144,27/01/2026,Richard Booth,Tyre,Toothpaste,Personal Care,2.42,1.0,1.0,cash,N
ORD-100145,23/12/2025, rhonda munoz  , ?????,Toothpaste,Personal Care,2.76,,,card,N
ORD-100146,02/10/2025,Gerald Wall,Zahle,USB-C Cable,Accessories,6.0,1.0,0.0,cash,N
ORD-100147,2026-01-04,Scott Lindsey,Jounieh,USB-C Cable,Accessories,$7.2,1.0,,cash,N
ORD-100148,2025-11-27,Shelby Curry,Zahle,Olive Oil 1L,Grocery,9.9,,1.0,card,N
ORD-100149,29/10/2025, christopher velasquez  ,Zahle,iPhone 14 Case,Accessories,12.5,2.0,0.0,cash,N
ORD-100150,03/12/2025, ryan webster  ,Beirut,Laptop Stand,Office,$22.0,3.0,0.0,wallet,N
ORD-100151,Dec 06 2025,Cheryl Jackson,Beirut,Olive Oil 1L,Grocery,"9,9",1.0,2.5,card,Y
ORD-100152,Dec 09 2025,Rebecca Levy,Zahle,Bluetooth Speaker,Electronics,"42,0",3.0,,wallet,N
ORD-100153,28/10/2025,Ronald Burgess, ?????,Notebook A5,Office,3.32,1.0,1.0,card,Y
ORD-100154,2025-11-28, christina travis  , ?????,Notebook A5,Office,$3.32,,0.0,wallet,N
ORD-100155,20/01/2026,Terry Pierce,Tripoli,Laptop Stand,Office,22.0,,,cash,N
ORD-100156,01/12/2025,Emily Harrell,Tripoli,Olive Oil 1L,Grocery,9.4,2.0,1.0,wallet,N
ORD-100157,Oct 30 2025,Christian Bradley, ?????,Olive Oil 1L,Grocery,9.9,,2.5,cash,Y
ORD-100158,Nov 02 2025,Michael Rodriguez,Beirut,Notebook A5,Office,4.2,1.0,1.0,cash,Y
ORD-100159,Oct 16 2025,Rebecca Barrera,Beirut,Bluetooth Speaker,Electronics,$35.0,1.0,0.0,card,Y
ORD-100160,Nov 03 2025,Stacy Williamson,Sidon,Wireless Mouse,Electronics,18.9,1.0,2.5,card,N
ORD-100161,31/10/2025,Katelyn Howard,Zahle,Protein Bar,Grocery,1.89,1.0,0.0,wallet,N
ORD-100162,2025-10-11,Jennifer Hess, ?????,Shampoo 400ml,Personal Care,5.2,,,card,N
ORD-100163,Jan 10 2026,Matthew Barton,Tripoli,Shampoo 400ml,Personal Care,6.24,,0.0,card,N
ORD-100164,27/12/2025,Kara Avila,Tripoli,Protein Bar,Grocery,1.89,1.0,0.0,cash,N
ORD-100165,Dec 09 2025, melanie gibson  ,Sidon,Toothpaste,Personal Care,2.76,3.0,0.0,cash,N
ORD-100166,2026-01-04,Andrea Gomez,Tyre,Wireless Mouse,Electronics,18.9,1.0,0.0,cash,N
ORD-100167,Oct 25 2025,Alan Nelson,Tyre,Bluetooth Speaker,Electronics,$36.75,,1.0,cash,Y
ORD-100168,31/10/2025, sean stephens  ,Jounieh,iPhone 14 Case,Accessories,12.5,1.0,,cash,N
ORD-100169,08/10/2025,Zachary Ruiz, ?????,Wireless Mouse,Electronics,18.9,3.0,2.5,wallet,N
ORD-100170,Nov 06 2025,Richard Alvarado,Tripoli,Notebook A5,Office,"3,68",,0.0,cash,Y
ORD-100171,2025-11-04,Jeremiah Jefferson,Tyre,Olive Oil 1L,Grocery,$9.9,1.0,0.0,wallet,N
ORD-100172,Jan 03 2026,Denise Barr,Jounieh,Bluetooth Speaker,Electronics,33.25,3.0,,card,N
ORD-100173,Nov 18 2025, jose wall  ,Tyre,Protein Bar,Grocery,1.89,2.0,0.0,wallet,N
ORD-100174,2025-11-30,Julia Wilson,Jounieh,iPhone 14 Case,Accessories,$12.5,1.0,0.0,cash,N
ORD-100175,04/01/2026,Jessica Lee,Jounieh,Notebook A5,Office,4.2,1.0,2.5,wallet,Y
ORD-100176,Oct 30 2025,Catherine Hall,Jounieh,Protein Bar,Grocery,2.16,1.0,2.5,wallet,N
ORD-100177,2025-11-29,Joshua Erickson, ?????,Shampoo 400ml,Personal Care,"6,24",1.0,1.0,wallet,N
ORD-100178,10/10/2025,Katie Hoffman,Jounieh,Laptop Stand,Office,26.4,1.0,0.0,cash,Y
ORD-100179,Nov 22 2025,Jason Brooks,Byblos,Olive Oil 1L,Grocery,9.9,2.0,0.0,wallet,N
ORD-100180,23/01/2026,Caroline Daniel,Byblos,Shampoo 400ml,Personal Care,6.24,,0.0,card,N
ORD-100181,Dec 11 2025,Javier Clarke,Beirut,Olive Oil 1L,Grocery,$10.4,3.0,0.0,cash,N
ORD-100182,Jan 26 2026,Ashley Williamson,Byblos,Shampoo 400ml,Personal Care,"6,24",1.0,,wallet,N
ORD-100183,16/11/2025, anna jones  ,Tyre,Olive Oil 1L,Grocery,9.4,,2.5,cash,N
ORD-100184,Oct 03 2025,Lawrence Hernandez,beirut ,Protein Bar,Grocery,$1.8,,1.0,cash,N
ORD-100185,Oct 02 2025,Catherine Mcdowell, ?????,Olive Oil 1L,Grocery,9.9,,0.0,cash,N
ORD-100186,Nov 19 2025,Elizabeth Mcdowell,Tripoli,Olive Oil 1L,Grocery,$9.9,1.0,0.0,cash,N
ORD-100187,02/11/2025,Jennifer Rojas,Jounieh,Shampoo 400ml,Personal Care,"6,24",1.0,0.0,card,N
ORD-100188,Dec 05 2025,Deborah Weaver,Beirut,USB-C Cable,Accessories,6.0,1.0,0.0,card,N
ORD-100189,Jan 03 2026,Michael Pham,beirut ,Notebook A5,Office,$4.2,3.0,2.5,card,N
ORD-100190,Dec 24 2025,Emily Myers,Tripoli,Shampoo 400ml,Personal Care,4.94,,0.0,wallet,N
